,dia,descricao
211,11/01/2021 12:00,"Lançamento do programa Limpa Rio em Teresópolis.
Local: Parque Sudantex - R. Nilza Chiapeta Fadigas 150 – Várzea.
*O governador concederá entrevista no final do evento."
212,11/01/2021 11:00,"Lançamento da pedra fundamental do monumento em homenagem às famílias das vítimas em Teresópolis.
Local: Parque Sudantex - Rua Nilza Chiapeta Fadigas 150 – Várzea."
213,11/01/2021 09:00,"Café da manhã com associações de moradores e síndicos do conjunto habitacional Fazenda Ermitage, em Teresópolis.
Local: Capela Bom Jesus - Rua Álvaro Alvim, s/n° - Granja Florestal."
214,10/01/2021 18:30,"Inauguração da Casa do Trabalhador
Local: Avenida Alberto Braune, 223 – Centro"
215,10/01/2021 16:30,"Lançamento do programa Limpa Rio
Local: Rua Alexandre Bachinni com Travessa Júlio Schottz – Córrego Dantas*O governador concederá entrevista"
216,10/01/2021 14:30,"Visita às obras de encostas no Jardim Califórnia
Local: Rua Alcindo Alves dos Reis - Jardim Califórnia"
217,10/01/2021 10:00,"Cerimônia em homenagem aos profissionais e cidadãos que se dedicaram no enfrentamento à tragédia
Local: Quartel do Corpo de Bombeiros de Nova Friburgo - Praça da Bandeira, 1.027 - Centro

*O governador concederá entrevista"
218,08/01/2021 09:30,Visita ao Centro de Diagnóstico de Covid da Fiocruz e à Bio-Manguinhos.
219,07/01/2021 10:00,Cerimônia de posse de Rodrigo Baptista Pacheco em sua recondução ao cargo de defensor público-geral do Estado.
220,06/01/2021 09:00,Despachos internos.
221,05/01/2021 09:00,Despachos internos.
222,03/01/2021 08:00,"Reunião com o prefeito do Rio, Eduardo Paes, para detalhar o Plano de Contingência para Vacinação contra a Covid.
Local: Palácio da Cidade, em Botafogo."
223,30/12/2020 09:00,Despachos internos
224,29/12/2020 09:00,Despachos internos
225,28/12/2020 17:00,Live sobre as ações de resposta do Governo do Estado a emergências causadas por chuvas intensas.
226,28/12/2020 09:00,Despachos internos.
227,18/12/2020 10:00,"Cerimônia de formatura de policiais militares
Local: Centro de Formação e Aperfeiçoamento de Praças, Jardim Sulacap"
228,17/12/2020 10:00,"Reunião do Instituto Rio Metrópole
Local: Palácio Guanabara - Rua Pinheiro Machado, s/n° - Laranjeiras"
229,16/12/2020 09:00,Despachos internos
230,15/12/2020 11:00,"Lançamento da plataforma ""Rio, seu melhor presente""
Local: Palácio Guanabara - Rua Pinheiro Machado, s/n° - Laranjeiras"
231,15/12/2020 09:00,"Lançamento do Plano de Contingência para Desastres
Local: Palácio Guanabara - Rua Pinheiro Machado, s/n° - Laranjeiras"
232,09/12/2020 09:00,Despachos internos
233,04/12/2020 11:30,"Cláudio Castro e o prefeito do Rio, Marcello Crivella, concedem entrevista coletiva
Local: Palácio Guanabara - Rua Pinheiro Machado, s/n° - Laranjeiras"
234,03/12/2020 15:00,"Assinatura de escritura para a instalação em Santa Cruz do Complexo Industrial de Biotecnologia em Saúde.
Local: Palácio Guanabara – Rua Pinheiro Machado, s/n°, Laranjeiras."
235,02/12/2020 10:30,"Formatura de bombeiros e entrega de viaturas no Quartel Central do CBMERJ.
Local: Praça da República 45, Centro, Rio de Janeiro."
236,01/12/2020 17:00,"Missa pelos cinco anos das Operações Aterro, Méier e Lagoa Presente
Local: Santuário Cristo Redentor - Acesso pela Estrada das Paineiras"
237,01/12/2020 13:30,"Cláudio Castro e o prefeito eleito do Rio, Eduardo Paes, concedem entrevista coletiva
Local: Palácio Guanabara - Rua Pinheiro Machado, s/n° - Laranjeiras"
238,26/11/2020 14:00,"Assinatura de regulamentação da Lei Estadual 8.690/20
Local: Palácio Guanabara - Rua Pinheiro Machado, s/n° - Laranjeiras"
239,25/11/2020 09:00,Despachos internos
240,24/11/2020 17:00,Reunião com prefeitos da Região Metropolitana sobre medidas de combate à pandemia
241,24/11/2020 15:00,
242,24/11/2020 09:00,Início de operação de ecobarreiras no sistema lagunar de Jacarepaguá
243,23/11/2020 11:00,Seminário Visão do Saneamento
244,19/11/2020 10:00,"Ato ecumênico pelo Dia Mundial em Memória das Vítimas de Trânsito
Local: Cidade das Artes"
245,18/11/2020 08:00,Reuniões em Brasília
246,17/11/2020 10:00,Reuniões em Brasília
247,16/11/2020 14:00,"Assinatura de convênio do Programa de Aquisição de Alimentos, com o ministro da Cidadania
Local: Jardim de Inverno do Palácio Guanabara"
248,11/11/2020 11:00,"Balanço da situação financeira do Estado e perspectivas para 2021
Local: Sede da Secretaria de Estado de Fazenda - Avenida Presidente Vargas, 670, Centro"
249,10/11/2020 08:00,Despachos internos.
250,09/11/2020 14:00,"Acordo de Cooperação para Troca de Informações na Área de Saúde.
Local: Sede do MPRJ - FoyerEndereço: Avenida Marechal Câmara 370 – Centro - RJ"
